"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UBE2F",3.53705478732878e-45,0.782442989030526,0.317,0.119,1.14448481753597e-40
"VCL",3.80599208447966e-45,-0.2885926140446,0.795,0.697,1.23150485877508e-40
"AQP10",3.85048937555821e-45,0.81189953980043,0.288,0.101,1.24590284724937e-40
"AKIRIN1",8.14178955022783e-45,0.87203997295889,0.255,0.082,2.63443884476722e-40
"RPL18",9.10080604735137e-45,-1.18964276708219,0.29,0.406,2.94474781274148e-40
"RIPOR2",9.15026849020614e-45,0.581067840759696,0.698,0.359,2.960752375376e-40
"XPNPEP1",9.18419255410391e-45,0.654194910065603,0.359,0.142,2.9717291847314e-40
"RPL29",1.28068920638718e-44,-1.09872039410635,0.331,0.437,4.14392606510699e-40
"NDUFA5",1.30564662834317e-44,0.662633133716935,0.376,0.155,4.22468079532999e-40
"CDKN1A",2.0077209201335e-44,0.711075782979584,0.357,0.143,6.49638258127597e-40
"SERPINB1",2.26138937560781e-44,0.569121719894228,0.605,0.293,7.3171776026542e-40
"GUCY1B1",4.06184812082303e-44,0.580332066609943,0.463,0.205,1.31429219645471e-39
"HIST1H2BJ",4.52450477383632e-44,0.576330228421393,0.676,0.349,1.46399400967022e-39
"SPPL3",9.08269845569778e-44,0.830471579116073,0.262,0.088,2.93888873931013e-39
"MOB2",1.07363667863277e-43,0.762102622726907,0.29,0.104,3.47396620105204e-39
"CDC42SE2",1.12220310617679e-43,0.672386143984272,0.385,0.163,3.63111259065625e-39
"MORF4L1",1.1314575386264e-43,0.571407238073713,0.476,0.214,3.66105715773345e-39
"NT5C3A",1.28808133569558e-43,0.572973831726791,0.835,0.47,4.1678447779102e-39
"CSNK1A1",2.38614100882634e-43,0.857897594164826,0.266,0.092,7.72083646225937e-39
"CLEC1B",2.44167374105125e-43,0.585696448822717,0.673,0.337,7.90052372391954e-39
"ANKRD28",3.04111235849225e-43,0.866197930069783,0.287,0.105,9.84012725837336e-39
"VASP",3.38202938077393e-43,0.59623709238312,0.367,0.148,1.09432324673702e-38
"PHF20L1",4.24638545229145e-43,0.804990911270919,0.289,0.105,1.37400294079794e-38
"MIR4435-2HG",4.36723525596005e-43,0.548949968742259,0.474,0.213,1.41310631177099e-38
"VDAC3",5.94376980816466e-43,0.544891007406639,0.645,0.316,1.92322559682784e-38
"KIAA0513",5.95578964529632e-43,0.832035582362815,0.253,0.083,1.92711485552853e-38
"RIT1",1.74119327714541e-42,0.630378360893542,0.356,0.144,5.63397908685939e-38
"RHOF",1.81385697515634e-42,0.771649688678712,0.265,0.091,5.86909701451336e-38
"BNIP2",2.74563323914256e-42,0.585987233901412,0.418,0.182,8.88404547189357e-38
"RPS21",3.01971757635904e-42,-1.46214506480808,0.175,0.308,9.77090016182495e-38
"MT-ND3",3.22041201897905e-42,-0.491416031730763,0.66,0.626,1.04202871698105e-37
"TWF2",4.05835800093092e-42,0.709500757369336,0.274,0.096,1.31316289836122e-37
"MOB1A",5.04971877787734e-42,0.525399567806577,0.554,0.262,1.63393750495777e-37
"TSPOAP1-AS1",5.39860135037874e-42,0.595854253180894,0.37,0.153,1.74682543894205e-37
"RPS6",5.4186621191358e-42,-1.2082995902499,0.256,0.378,1.75331650188877e-37
"SQSTM1",7.8921107008049e-42,0.551283546805011,0.654,0.326,2.55365025945944e-37
"DAAM1",9.36807313860223e-42,0.720256226803293,0.282,0.102,3.03122742545752e-37
"LGALSL",1.10942165946812e-41,0.570910122950408,0.62,0.305,3.58975566354099e-37
"PGRMC1",1.79526476459639e-41,-0.26081922331031,0.83,0.719,5.80893819880453e-37
"LY6G6F",2.09915401495618e-41,0.584175134883794,0.344,0.137,6.79223264619371e-37
"RGS6",2.35564773415085e-41,0.809155660044996,0.261,0.091,7.62216937339189e-37
"BIN2",2.81205876116632e-41,0.537628111980313,0.683,0.344,9.09897853350588e-37
"SLA2",5.71126047675124e-41,0.627218027962485,0.34,0.137,1.8479925524624e-36
"KCTD20",7.08885400408484e-41,0.59553493139941,0.342,0.138,2.29374049010173e-36
"HIST1H1C",9.44517853990158e-41,0.55581568196772,0.526,0.252,3.05617642015595e-36
"RPS3",1.03829503240415e-40,-1.00481204644379,0.375,0.454,3.35961123635012e-36
"PPP1R15A",1.31123558727229e-40,0.617942450170258,0.358,0.15,4.24276498973696e-36
"GAS2L1",1.94640286811632e-40,0.531490169748435,0.498,0.232,6.29797576036397e-36
"VPS28",1.97320992494541e-40,0.51398265050916,0.483,0.224,6.38471535414586e-36
"BEX4",6.28530409882671e-40,0.726051185726392,0.275,0.101,2.03373584725736e-35
"BNIP3L",6.31611523166862e-40,0.672250097891901,0.328,0.134,2.04370540551102e-35
"PTPN18",6.86040653162312e-40,0.530580128622014,0.721,0.376,2.21982174143729e-35
"RPS25",7.51951601002761e-40,-1.19527121517182,0.28,0.389,2.43308979536463e-35
"RPL14",1.29923835719328e-39,-1.28064799589384,0.233,0.353,4.20394555237031e-35
"S100A9",1.50744748288421e-39,-1.30287339764411,0.235,0.351,4.87764782036843e-35
"AIG1",1.69437491089218e-39,0.738414906826302,0.269,0.099,5.48248889917382e-35
"ASAP2",1.72980304098524e-39,0.594216055347496,0.318,0.127,5.59712369971595e-35
"NAA38",2.59300272344044e-39,0.579690131513278,0.385,0.168,8.39017891223622e-35
"CD63",3.38972339932961e-39,0.530535996018448,0.493,0.234,1.09681280032108e-34
"CAP1",3.43379775185132e-39,0.526846371670639,0.636,0.321,1.11107393856653e-34
"EMC3",7.28469188595945e-39,0.490644157588819,0.585,0.287,2.3571077535399e-34
"HTATIP2",8.55495490014674e-39,0.676543914279826,0.302,0.119,2.76812675704048e-34
"UBE2D3",1.2323227843874e-38,0.697295375512924,0.274,0.103,3.98742683344232e-34
