"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.67557786011009e-112,0.931547996529503,0.602,0.141,8.65736728195823e-108,"6","PTPN6"
4.33106193672211e-112,1.2756000202816,0.456,0.089,1.40140171086517e-107,"6","TTC37"
4.64643410993866e-112,1.62821487066232,0.379,0.065,1.50344668495285e-107,"6","SPEN"
6.00416559025523e-112,1.69160153620425,0.404,0.073,1.94276786003888e-107,"6","NDUFAF8"
6.46362950058452e-112,1.40843464506427,0.442,0.086,2.09143659750413e-107,"6","MESD"
6.4800480572824e-112,2.15476910589248,0.299,0.041,2.09674914989487e-107,"6","CEP68"
6.79881127046769e-112,1.77239187302164,0.434,0.082,2.19989136278523e-107,"6","ZBTB20"
6.82675562468306e-112,2.46960172960243,0.305,0.043,2.2089333174787e-107,"6","REXO4"
7.16658931852736e-112,2.3159368263552,0.352,0.057,2.3188933057959e-107,"6","MRPL1"
7.30316766921375e-112,2.21160980145298,0.346,0.055,2.36308596272749e-107,"6","PARL"
9.51225106739569e-112,2.01530318024803,0.338,0.053,3.07787907787722e-107,"6","EXOSC6"
1.11441478587108e-111,2.48545870272105,0.25,0.029,3.60591192264304e-107,"6","RGL2"
1.3895135996829e-111,2.28983457735567,0.346,0.055,4.49604915449395e-107,"6","POP5"
1.83738391425203e-111,1.94638129089456,0.343,0.054,5.94522313134531e-107,"6","PRPF31"
1.83786669305871e-111,1.43592397596968,0.316,0.045,5.94678525873007e-107,"6","ADGRE5"
2.18672364228621e-111,1.80913921631706,0.349,0.055,7.0755816893455e-107,"6","ZBTB1"
2.2072797455758e-111,1.86418085125799,0.398,0.072,7.14209507275961e-107,"6","DCAF7"
2.21658633368498e-111,1.95330886439896,0.382,0.066,7.17220839990448e-107,"6","PAIP1"
2.51851817811037e-111,2.0448344322769,0.305,0.043,8.14916926891172e-107,"6","ADPGK"
2.53285617558891e-111,1.87322874640459,0.365,0.061,8.19556272735304e-107,"6","CNOT4"
2.87604459653002e-111,0.70830970385679,0.679,0.169,9.30601750099218e-107,"6","PSMA1"
2.9371479944178e-111,2.64134194634344,0.31,0.045,9.50372976553768e-107,"6","MRPS9"
3.06897629865951e-111,2.31627522424477,0.352,0.057,9.93028660957257e-107,"6","WDR43"
4.54257958767264e-111,1.09491547720691,0.456,0.089,1.46984247718324e-106,"6","SEC22B"
6.72050430673347e-111,1.27455584431298,0.464,0.094,2.17455357852975e-106,"6","LMAN1"
7.13353648977271e-111,2.36040572014596,0.302,0.042,2.30819840199575e-106,"6","SGK3"
7.95208871999001e-111,1.98073492851926,0.324,0.049,2.57305734712717e-106,"6","ACTR6"
1.00513644368274e-110,1.58060147622846,0.346,0.055,3.25231999082424e-106,"6","ARPC5L"
1.19708788602361e-110,0.923334224474947,0.387,0.065,3.87341727280661e-106,"6","EFCAB14"
1.42021389436535e-110,1.76868574577754,0.272,0.034,4.59538609799796e-106,"6","TCF3"
2.73428593818224e-110,2.24564787744939,0.335,0.053,8.84732901017629e-106,"6","IARS2"
2.81359939726298e-110,1.94184882160066,0.393,0.071,9.10396356972382e-106,"6","IP6K2"
2.8693195043268e-110,1.56900396783755,0.39,0.069,9.28425712015022e-106,"6","POLR2K"
2.94000875541446e-110,1.75533692608313,0.365,0.061,9.51298632989456e-106,"6","SCNM1"
4.29615720521703e-110,2.57047855917157,0.36,0.061,1.39010758689207e-105,"6","NOA1"
4.97667618734542e-110,2.35826017307315,0.349,0.057,1.61030311393936e-105,"6","CLPP"
5.08170448542066e-110,1.23579785004319,0.448,0.088,1.64428712034756e-105,"6","WASHC3"
5.4739804569515e-110,1.36001064587289,0.462,0.094,1.7712158564558e-105,"6","TECR"
5.95952728865277e-110,1.05884946576531,0.519,0.113,1.92832424478938e-105,"6","RNF181"
7.42315127545367e-110,1.74129718834052,0.291,0.039,2.40190905819854e-105,"6","MHENCR"
1.07893762538121e-109,1.97054016856856,0.393,0.071,3.49111847444598e-105,"6","COA4"
1.25805291931613e-109,0.482992955140342,0.948,0.274,4.07068183103119e-105,"6","ATP6V1G1"
1.4039583370739e-109,1.69409600064296,0.313,0.045,4.54278799127003e-105,"6","NAGK"
1.4293993688842e-109,2.03279872585622,0.349,0.057,4.62510753789859e-105,"6","INTS10"
1.45095012105424e-109,0.794924449164587,0.577,0.134,4.6948393066952e-105,"6","RPN2"
1.46195217190554e-109,1.57331651049859,0.426,0.082,4.73043864263475e-105,"6","PIN4"
1.61471976559809e-109,1.91096498489627,0.36,0.06,5.22474874554575e-105,"6","EMC7"
1.95908704411227e-109,1.71869399613095,0.297,0.041,6.33901794863407e-105,"6","PIM3"
1.96835237126719e-109,1.83534343531921,0.453,0.088,6.36899776770926e-105,"6","LRRC75A"
2.01123883464557e-109,2.01547747197289,0.398,0.073,6.50776549726267e-105,"6","LRPPRC"
2.28107486994709e-109,1.26856504379057,0.379,0.065,7.3808739566878e-105,"6","CASC4"
2.63895718491535e-109,0.584017971209763,0.635,0.151,8.53887376323061e-105,"6","SRSF2"
3.19191614869991e-109,2.03028882132637,0.28,0.037,1.03280830823483e-104,"6","ATAD2B"
3.91002484323378e-109,2.66903262079121,0.299,0.042,1.26516673852516e-104,"6","NPDC1"
4.15504241647841e-109,2.394109008648,0.283,0.038,1.34444707469992e-104,"6","TMX3"
4.40297111551168e-109,1.99483590301763,0.321,0.049,1.42466936384611e-104,"6","ATXN3"
4.6717939494424e-109,1.78705250036248,0.28,0.036,1.51165236822108e-104,"6","NDE1"
4.70890814500981e-109,1.66758726929307,0.431,0.084,1.52366140848083e-104,"6","SLIRP"
5.82344551059415e-109,1.4854733502962,0.354,0.058,1.88429226386295e-104,"6","POLR2A"
6.18907865575533e-109,1.75640190660418,0.335,0.052,2.00260018064275e-104,"6","ATXN2L"
6.91582872394725e-109,2.12238971673326,0.324,0.05,2.23775470020761e-104,"6","HEXDC"
8.17752580939893e-109,1.66712498756501,0.387,0.07,2.64600202614721e-104,"6","WDR33"
9.51874007992153e-109,1.7375860387861,0.316,0.046,3.07997872766021e-104,"6","PLEKHA3"
1.08011841306891e-108,2.20906521376519,0.412,0.077,3.49493914916708e-104,"6","FABP5"
1.09287458407547e-108,0.770205866767711,0.448,0.087,3.536214291693e-104,"6","SURF1"
1.15296510119617e-108,0.860940236578552,0.558,0.127,3.73064917794044e-104,"6","RAD21"
1.57028095560998e-108,2.11390366487645,0.31,0.045,5.08095808806723e-104,"6","ZNF91"
